id	producto	cantidad	precio_unitario	fecha_venta
1	Notebook	3	45000	1/5/2024
2	Mouse	10	8500	1/8/2024
3	Teclado	5	12000	1/12/2024
4	Monitor	2	85000	1/20/2024
5	Notebook	1	45000	2/3/2024
6	Auriculares	7	15000	2/10/2024
7	Mouse	4	8500	2/14/2024
8	Teclado	3	12000	2/18/2024
9	Monitor	1	85000	2/25/2024
10	Auriculares	5	15000	3/2/2024
11	Notebook	2	45000	3/7/2024
12	Mouse	8	8500	3/11/2024
13	Teclado	6	12000	3/15/2024
14	Auriculares	3	15000	3/22/2024
15	Monitor	2	85000	3/28/2024
16	Notebook	4	45000	4/4/2024
17	Mouse	6	8500	4/9/2024
18	Teclado	2	12000	4/14/2024
19	Auriculares	8	15000	4/19/2024
20	Monitor	1	85000	4/25/2024
21	Notebook	2	45000	5/3/2024
22	Mouse	12	8500	5/8/2024
23	Teclado	4	12000	5/13/2024
24	Auriculares	6	15000	5/20/2024
25	Monitor	3	85000	5/27/2024
26	Notebook	5	45000	6/4/2024
27	Mouse	9	8500	6/10/2024
28	Teclado	7	12000	6/15/2024
29	Auriculares	4	15000	6/22/2024
30	Monitor	2	85000	6/28/2024
